-0.13,-0.01,0.99,-7.25,-0.71,80.12
-0.13,-0.01,0.98,-7.36,-0.70,78.93
-0.13,-0.01,0.99,-7.24,-0.52,80.66
-0.13,-0.01,0.98,-7.50,-0.37,80.00
0.15,-0.04,0.97,8.60,-2.52,75.37
0.28,0.00,0.96,16.06,0.25,73.16
0.38,-0.02,0.91,22.49,-1.37,65.10
0.41,-0.03,0.89,24.28,-1.89,62.26
0.39,-0.02,0.91,22.74,-1.16,65.56
0.39,-0.03,0.91,22.88,-1.95,65.33
0.40,-0.03,0.90,23.72,-1.52,63.81
0.39,-0.04,0.90,23.19,-2.16,64.33
0.40,-0.04,0.90,23.83,-2.18,64.17
0.40,-0.04,0.90,23.32,-2.52,64.32
0.40,-0.05,0.90,23.50,-2.60,63.72
0.40,-0.05,0.90,23.33,-2.69,64.07
0.40,-0.05,0.90,23.30,-2.64,64.44
0.37,-0.06,0.93,21.79,-3.71,68.10
